# Trial, Score, RMS, Safe_landing, time, self-conf, workload, Control_mode, Position_x, Position_y, speed, attitude, score_t, score_p,score_v, score_a, start_time, end_time
1.000000000000000000e+00,9.560000000000000000e+02,2.298077675080083537e+00,2.000000000000000000e+00,8.163000000000000256e+00,5.000000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00,8.199696238182596630e-02,4.067184502639673127e+00,4.431070158755291644e+00,2.489680523009737190e+00,9.756937453814725814e+01,1.000000000000000000e+02,8.843684488807920729e+01,9.637032322366418668e+01,1.752609432666606903e+09,1.752609450029820919e+09
2.000000000000000000e+00,6.100000000000000000e+02,2.581584299540867988e+00,0.000000000000000000e+00,5.863000000000000433e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.132893651122725487e+01,3.750000000000000000e-01,1.098053157584350181e+01,-5.444500201239596215e+00,5.502623550688698373e+01,7.489780678717487206e+01,2.243897248846108283e+01,9.163512604921056948e+01,1.752609468674709082e+09,1.752609475978669882e+09
3.000000000000000000e+00,9.720000000000000000e+02,2.621174845379334872e+00,2.000000000000000000e+00,1.441099999999999959e+01,1.000000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+00,1.933218964290546182e-01,4.165766308126613637e+00,1.453142025474887244e+00,-2.142693347281351635e+00,9.473454156387656155e+01,1.000000000000000000e+02,9.713470937655534954e+01,9.689618837895982040e+01,1.752609506288866043e+09,1.752609526484960079e+09
4.000000000000000000e+00,9.620000000000000000e+02,2.368434206410641174e+00,2.000000000000000000e+00,5.565999999999999837e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,3.396022262372007106e-01,3.990384227516202031e+00,4.321127599547631704e+00,1.828702415785958380e+00,9.847603216836633067e+01,1.000000000000000000e+02,8.898721855844658535e+01,9.736648717801246278e+01,1.752609553612807035e+09,1.752609566754856110e+09
5.000000000000000000e+00,9.410000000000000000e+02,2.374654016021784386e+00,1.000000000000000000e+00,4.918000000000000149e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,3.643578161303544505e+00,4.062080876150165665e+00,5.790275816613714710e+00,-1.336382883956043210e+00,9.868114003380752308e+01,1.000000000000000000e+02,7.949233839855919825e+01,9.809322063615817910e+01,1.752609585142991066e+09,1.752609591444577932e+09
6.000000000000000000e+00,9.430000000000000000e+02,2.564276468635974471e+00,2.000000000000000000e+00,6.211000000000000298e+00,4.000000000000000000e+01,1.000000000000000000e+02,1.000000000000000000e+00,6.146145646836778553e+00,4.173473772847685836e+00,4.391466000276007087e+00,6.243547784900002284e+00,9.826378391276985269e+01,1.000000000000000000e+02,8.863780657831141241e+01,9.027772185589300591e+01,1.752609646012211084e+09,1.752609658007194996e+09
7.000000000000000000e+00,9.670000000000000000e+02,2.027617138234694139e+00,2.000000000000000000e+00,6.604000000000000092e+00,4.000000000000000000e+01,1.000000000000000000e+02,2.000000000000000000e+00,2.036069020840365340e-01,4.016447650038458050e+00,3.814508576207498614e+00,1.747931782199157125e+00,9.813038402183404685e+01,1.000000000000000000e+02,9.123558882168968864e+01,9.748661023247700541e+01,1.752609681926145077e+09,1.752609702563023090e+09
8.000000000000000000e+00,9.650000000000000000e+02,2.053309418361950023e+00,2.000000000000000000e+00,6.557999999999999829e+00,4.000000000000000000e+01,1.000000000000000000e+02,2.000000000000000000e+00,-1.900710207710822885e-01,4.174511938805252953e+00,3.540965420262469188e+00,2.908738648528525150e+00,9.814616055864297550e+01,1.000000000000000000e+02,9.226933730235361963e+01,9.572666465921483336e+01,1.752609722043250084e+09,1.752609735191514969e+09
9.000000000000000000e+00,9.580000000000000000e+02,2.179387149169111915e+00,2.000000000000000000e+00,6.807000000000000384e+00,1.000000000000000000e+02,1.000000000000000000e+02,2.000000000000000000e+00,6.838471785500388478e-02,4.208998409697876752e+00,3.411172974152334447e+00,4.887341729007912861e+00,9.806024215571240177e+01,1.000000000000000000e+02,9.271973118347082732e+01,9.256261950081852774e+01,1.752609758489639997e+09,1.752609784581798077e+09
1.000000000000000000e+01,9.550000000000000000e+02,2.387411078828244992e+00,2.000000000000000000e+00,5.764000000000000234e+00,1.000000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,-2.316599948209447035e+00,4.134520727430189169e+00,4.945826864605332496e+00,-1.348714988375917523e+00,9.841174833366392249e+01,1.000000000000000000e+02,8.553367431073814942e+01,9.807517605246866310e+01,1.752609803015995026e+09,1.752609809985312939e+09
