time,x,y,phi,vx,vy,phi_dot,u1,u2
1.000000000000000000e+00,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
5.100000000000000000e+01,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
1.010000000000000000e+02,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
1.510000000000000000e+02,1.500000000000000000e+01,2.800000000000000000e+01,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-9.817414255845220428e-01,-6.876078032091068604e-01
2.020000000000000000e+02,1.500000000000000000e+01,2.799971640450613819e+01,-0.000000000000000000e+00,0.000000000000000000e+00,-5.671909877232143848e-03,-0.000000000000000000e+00,-9.817416347473651994e-01,-6.870325163216227660e-01
2.520000000000000000e+02,1.500000000000000000e+01,2.799710987745012503e+01,-1.074218750000000087e-03,0.000000000000000000e+00,-5.213054112025670289e-02,-2.148437500000000000e-02,-9.829897615048194259e-01,-6.823812130751953919e-01
3.020000000000000000e+02,1.499997368164062550e+01,2.799054822594234082e+01,-5.344238281250001223e-04,-5.263671875000000338e-04,-1.312330301557268486e-01,1.079589843749999972e-02,-9.785302641296697024e-01,-6.741250612172360324e-01
3.520000000000000000e+02,1.499993426989745871e+01,2.797880414657323200e+01,-8.029852294921874982e-04,-7.882348632812500493e-04,-2.348815873821803457e-01,-5.371228027343747519e-03,-9.806712155874947046e-01,-6.635417183074536762e-01
4.020000000000000000e+02,1.499987518501617245e+01,2.796042955245866679e+01,-6.666970657348633570e-04,-1.181697625732422039e-03,-3.674918822912516259e-01,2.725763275146482825e-03,-9.795063146507898555e-01,-6.497718116925634835e-01
4.520000000000000000e+02,1.499979976605677479e+01,2.793500419215452268e+01,-3.369893154949188570e-03,-1.508379187942505322e-03,-5.085072060829203267e-01,-5.406392178428650469e-02,-9.830556650820523323e-01,-6.352238824877041168e-01
5.020000000000000000e+02,1.499964178471508092e+01,2.790256331949174040e+01,-1.197080787745465405e-02,-3.159626833867607790e-03,-6.488174532556307827e-01,-1.720182944501092992e-01,-9.833198288353202088e-01,-6.205885135933478791e-01
5.520000000000000000e+02,1.499919051858039154e+01,2.786314201203211383e+01,-2.297245474650828553e-02,-9.025322693820388847e-03,-7.884261491924776655e-01,-2.200329373810726019e-01,-9.650507588415208060e-01,-6.052447524273179003e-01
6.020000000000000000e+02,1.499817642730441491e+01,2.781677517194963301e+01,-3.753138767511519924e-02,-2.028182551960945254e-02,-9.273368016496402744e-01,-2.911786585721383158e-01,-9.415137434277730533e-01,-5.896972735738017501e-01
6.520000000000000000e+02,1.499624281703039941e+01,2.776349752690740758e+01,-5.183778024162395692e-02,-3.867220548041590961e-02,-1.065552900844517037e+00,-2.861278513301751536e-01,-9.039163570451902441e-01,-5.735507498802075999e-01
7.020000000000000000e+02,1.499303918114046041e+01,2.770334363093023455e+01,-6.613702075776552169e-02,-6.407271779881164309e-02,-1.203077919543419583e+00,-2.859848103228312399e-01,-8.657928054066765799e-01,-5.572994269990467764e-01
7.520000000000000000e+02,1.498821518824195920e+01,2.763634786527279630e+01,-8.020877669780032693e-02,-9.647985797011675302e-02,-1.339915313148827503e+00,-2.814351188006961046e-01,-8.260117977084292518e-01,-5.408983692445487046e-01
8.020000000000000000e+02,1.498142608031435685e+01,2.756254443928348508e+01,-9.484737678603842592e-02,-1.357821585520389007e-01,-1.476068519786208233e+00,-2.927720017647619799e-01,-7.862595536050319689e-01,-5.244255385038749662e-01
8.530000000000000000e+02,1.497231321165549645e+01,2.748196739126396437e+01,-1.089706457999542744e-01,-1.822573731771977568e-01,-1.611540960390402288e+00,-2.824653802783170797e-01,-7.424425434476973340e-01,-5.077112127069532965e-01
9.040000000000000000e+02,1.496053056217454014e+01,2.739465058932438524e+01,-1.235115846784964611e-01,-2.356529896191753570e-01,-1.746336038791575174e+00,-2.908187775708437339e-01,-6.994314078813304025e-01,-4.909511180542462938e-01
9.550000000000000000e+02,1.494572187886895875e+01,2.730062773223435002e+01,-1.381979612775291189e-01,-2.961736661116386449e-01,-1.880457141800742082e+00,-2.937275319806533225e-01,-6.536039879906696548e-01,-4.740094568998184377e-01
1.005000000000000000e+03,1.492752734551207539e+01,2.719993235026960576e+01,-1.527749030748189740e-01,-3.638906671376279101e-01,-2.013907639294863383e+00,-2.915388359457968814e-01,-6.055743943842730737e-01,-4.569036418000662625e-01
1.055000000000000000e+03,1.490558982702985702e+01,2.709259780605453116e+01,-1.673701199184869925e-01,-4.387503696442892065e-01,-2.146690884301514224e+00,-2.919043368733605925e-01,-5.563638429473073410e-01,-4.396736954788530993e-01
1.106000000000000000e+03,1.487955174060964225e+01,2.697865729540037449e+01,-1.815290861968567593e-01,-5.207617284043478678e-01,-2.278810213083131586e+00,-2.831793255673953347e-01,-5.049757448861555975e-01,-4.222746350314216524e-01
1.157000000000000000e+03,1.484906619157760588e+01,2.685814384813933131e+01,-1.957731240921797289e-01,-6.097109806408076427e-01,-2.410268945220841008e+00,-2.848807579064595030e-01,-4.536130102957245391e-01,-4.047972596151553359e-01
1.208000000000000000e+03,1.481378420100530491e+01,2.673109032895443704e+01,-2.067163598342877939e-01,-7.056398114459756510e-01,-2.541070383697861423e+00,-2.188647148421612454e-01,-3.965033924472078919e-01,-3.869627584865912850e-01
1.258000000000000000e+03,1.477343765961706623e+01,2.659752943820531357e+01,-2.161576385636480579e-01,-8.069308277647766481e-01,-2.671217814982496996e+00,-1.888255745872050029e-01,-3.477943489535978983e-01,-3.693188069935541273e-01
1.308000000000000000e+03,1.472779525608402196e+01,2.645749371274977690e+01,-2.235919176025588095e-01,-9.128480706609641837e-01,-2.800714509110709738e+00,-1.486855807782150873e-01,-3.007668294711954848e-01,-3.516121034788579069e-01
1.358000000000000000e+03,1.467667485056971088e+01,2.631101552676136279e+01,-2.291790795390970248e-01,-1.022408110286217919e+00,-2.929563719768280894e+00,-1.117432387307645270e-01,-2.575349748500713742e-01,-3.339219987969706538e-01
1.408000000000000000e+03,1.461993955760669195e+01,2.615812709254273472e+01,-2.332344258719801777e-01,-1.134705859260375593e+00,-3.057768684372564660e+00,-8.110692665766290610e-02,-2.180691704319033808e-01,-3.162537489929517776e-01
1.458000000000000000e+03,1.455749002120980862e+01,2.599886046133504536e+01,-2.379478853908586489e-01,-1.248990727937645984e+00,-3.185332624153826675e+00,-9.426919037756953390e-02,-1.839479605486881719e-01,-2.987100674479086782e-01
1.508000000000000000e+03,1.448921076162085342e+01,2.583324752412323733e+01,-2.425158171679422658e-01,-1.365585191779166818e+00,-3.312258744236182384e+00,-9.135863554167229783e-02,-1.465551262458650861e-01,-2.809637271043818330e-01
1.558000000000000000e+03,1.441498986451128417e+01,2.566132001243732930e+01,-2.462661867364805968e-01,-1.484417942191458506e+00,-3.438550233718126847e+00,-7.500739137076672947e-02,-1.079117196828899561e-01,-2.630740086880559159e-01
1.608000000000000000e+03,1.433473544582666648e+01,2.548310949914969825e+01,-2.496347114853702254e-01,-1.605088373692334036e+00,-3.564210265752661311e+00,-6.737049497779259988e-02,-7.092942111418600037e-02,-2.451552846114808948e-01
1.658000000000000000e+03,1.424836497671065416e+01,2.529864739926834716e+01,-2.519162060822119908e-01,-1.727409382320165498e+00,-3.689241997627022762e+00,-4.562989193683519157e-02,-3.330437457780446864e-02,-2.271098790917101262e-01
1.708000000000000000e+03,1.415582256054563715e+01,2.510796497072624334e+01,-2.533683245185855970e-01,-1.850848323300449350e+00,-3.813648570842012475e+00,-2.904236872747180398e-02,2.115975780807311142e-03,-2.090459951965864815e-01
1.758000000000000000e+03,1.405707262042990635e+01,2.491109331516669911e+01,-2.523994694891023571e-01,-1.974998802314556157e+00,-3.937433111190927537e+00,1.937710058966518600e-02,3.800060609276402490e-02,-1.908340095682073134e-01
1.808000000000000000e+03,1.395213889331169810e+01,2.470806337872479475e+01,-2.522528983301212113e-01,-2.098674542364216578e+00,-4.060598728838098026e+00,2.931423179622524161e-03,6.482761740356504654e-02,-1.728851155456717359e-01
1.858000000000000000e+03,1.384102497018439948e+01,2.449890595280494310e+01,-2.516955516637864876e-01,-2.222278462545975941e+00,-4.183148518397032056e+00,1.114693332669479918e-02,9.538186546970832402e-02,-1.547126006950134414e-01
1.908000000000000000e+03,1.372374450604133500e+01,2.428365167485453213e+01,-2.504615022310756611e-01,-2.345609282861231382e+00,-4.305085559008172247e+00,2.468098865421692462e-02,1.256451673785051182e-01,-1.364562171850639827e-01
1.958000000000000000e+03,1.360032773509362158e+01,2.406233102913372335e+01,-2.494712330551346335e-01,-2.468335418954457960e+00,-4.426412914416255617e+00,1.980538351882031936e-02,1.535606040728283439e-01,-1.182096481748167172e-01
2.008000000000000000e+03,1.347079891893604042e+01,2.383497434748135646e+01,-2.489490128026548010e-01,-2.590576323151474014e+00,-4.547133633047299561e+00,1.044440504959657200e-02,1.820898571500192686e-01,-9.987115313301050956e-02
2.058000000000000000e+03,1.333517085196480423e+01,2.360161181007709530e+01,-2.481940736390755853e-01,-2.712561339424774953e+00,-4.667250748085187695e+00,1.509878327158445388e-02,2.128680714458228707e-01,-8.136759718079665527e-02
2.109000000000000000e+03,1.319346203018941566e+01,2.336227344619970125e+01,-2.479510580367675077e-01,-2.834176435507921976e+00,-4.786767277547887112e+00,4.860312046161552324e-03,2.425716459340534759e-01,-6.283488858135533039e-02
2.159000000000000000e+03,1.304567840749211172e+01,2.311698913498153729e+01,-2.474526881928296174e-01,-2.955672453945938472e+00,-4.905686224363273062e+00,9.967396878757599568e-03,2.747270482839560546e-01,-4.413022488763471141e-02
2.209000000000000000e+03,1.289183219393409985e+01,2.286578860615930608e+01,-2.470832413943164774e-01,-3.076924271160425217e+00,-5.024010576444581488e+00,7.388935970262681951e-03,3.061958451698629791e-01,-2.537526667712387829e-02
2.259000000000000000e+03,1.273193244096191279e+01,2.260870144082103295e+01,-2.466502566900872495e-01,-3.197995059443640375e+00,-5.141743306765484078e+00,8.659694084584484280e-03,3.385489693102419206e-01,-6.509704592653693320e-03
2.309000000000000000e+03,1.256598975670082297e+01,2.234575707214929352e+01,-2.462501234004766393e-01,-3.318853685221783145e+00,-5.258887373434781409e+00,8.002665792212119641e-03,3.709987430719852708e-01,1.243563695819945372e-02
2.359000000000000000e+03,1.239401394441642168e+01,2.207698478616075732e+01,-2.458345647367807529e-01,-3.439516245688016394e+00,-5.375445719770732822e+00,8.311173273917771970e-03,4.039387631941355750e-01,3.147557947734740819e-02
2.409000000000000000e+03,1.221601518529596575e+01,2.180241372244200804e+01,-2.454277576567867325e-01,-3.559975182409039096e+00,-5.491421274375003492e+00,8.136141599880152009e-03,4.371710052400796243e-01,5.060208641446881789e-02
2.459000000000000000e+03,1.203200344611291683e+01,2.152207287488169385e+01,-2.450175918026417654e-01,-3.680234783660864650e+00,-5.606816951206254451e+00,8.203317082899262008e-03,4.707937504243800420e-01,6.981857228322027598e-02
2.509000000000000000e+03,1.184198877593070875e+01,2.123599109239902560e+01,-2.446101307502076549e-01,-3.800293403644158907e+00,-5.721635649653347144e+00,8.149221048682457266e-03,5.047568814352183519e-01,8.912271946573663284e-02
2.560000000000000000e+03,1.164598115754512264e+01,2.094419707966861921e+01,-2.407691084104867096e-01,-3.920152367711760455e+00,-5.835880254608205142e+00,7.682044679441915602e-02,5.430681819922613673e-01,1.087308483246090252e-01
2.611000000000000000e+03,1.144407469600347582e+01,2.064671939784170362e+01,-2.334588515944772125e-01,-4.038129230832899097e+00,-5.949553636538289503e+00,1.462051363201897491e-01,5.734976584840917324e-01,1.282031352122069423e-01
2.661000000000000000e+03,1.123644849259777345e+01,2.034358646526376901e+01,-2.203529647094332744e-01,-4.152524068114193057e+00,-6.062658651558723300e+00,2.621177377008789833e-01,5.982904767898922227e-01,1.476704313490939113e-01
2.711000000000000000e+03,1.102342364155668264e+01,2.003482655818856273e+01,-2.010605311112754201e-01,-4.260497020821815362e+00,-6.175198141504054661e+00,3.858486719631571416e-01,6.092569513707580819e-01,1.668472318883077732e-01
2.762000000000000000e+03,1.080547280750337080e+01,1.972046781148857875e+01,-1.752050121099198998e-01,-4.359016681066339771e+00,-6.287174933999659210e+00,5.171103800271101836e-01,6.048758380542363922e-01,1.856886940872406189e-01
2.812000000000000000e+03,1.058322945065336285e+01,1.940053821936194112e+01,-1.422052571271978372e-01,-4.444867137000200863e+00,-6.398591842532786345e+00,6.599950996544409199e-01,5.838682296508848069e-01,2.041631975821669442e-01
2.862000000000000000e+03,1.035750206500373594e+01,1.907506563603577732e+01,-1.105072142491783649e-01,-4.514547712992527551e+00,-6.509451666523247582e+00,6.339608575603895568e-01,5.337047165662384129e-01,2.216440449180690497e-01
2.912000000000000000e+03,1.012906725260499741e+01,1.874407777646609219e+01,-7.765009704709641136e-02,-4.568696247974624924e+00,-6.619757191393755846e+00,6.571423440416390704e-01,4.866812392326655967e-01,2.393481567312721048e-01
2.962000000000000000e+03,9.898730012828615088e+00,1.840760221703409627e+01,-4.398371253442590056e-02,-4.606744795527702330e+00,-6.729511188639911268e+00,6.733276902534102160e-01,4.336751265402294941e-01,2.569390782188999411e-01
3.012000000000000000e+03,9.667315172095136688e+00,1.806566639623910220e+01,-1.070847138833133649e-02,-4.628296814669571546e+00,-6.838716415899837031e+00,6.655048229218912814e-01,3.743818128325793748e-01,2.743807900727944782e-01
3.062000000000000000e+03,9.435637973812646351e+00,1.771829761538792880e+01,2.267915333818595197e-02,-4.633543965649853824e+00,-6.947375617023463512e+00,6.677524945303457971e-01,3.135427031890540839e-01,2.918546854027953552e-01
